Mouse gene name	Gene name
Psg23	CEACAM8
Ceacam12	CEACAM8
Ceacam14	CEACAM8
Psg19	CEACAM8
Ceacam13	CEACAM8
Psg17	CEACAM8
Psg26	CEACAM8
Psg25	CEACAM8
Psg20	CEACAM8
Ceacam11	CEACAM8
Arhgap10	ARHGAP10
Stom	STOM
Hdac9	HDAC9
Pigo	PIGO
Fam25c	FAM25G
Slurp2	AC083841.5
1700125H20Rik	C17orf64
Lvrn	LVRN
Pqlc1	PQLC1
Rpf1	RPF1
Slurp1	SLURP1
Spata1	SPATA1
Bod1	BOD1
Mycbpap	MYCBPAP
Rpl36a	RPL36A
Galnt16	GALNT16
Zfyve21	ZFYVE21
Lix1	LIX1
Efemp1	EFEMP1
B4galt2	B4GALT2
Aggf1	AGGF1
Lims1	LIMS1
Fut8	FUT8
Il22ra2	IL22RA2
Rdh5	RDH5
Stau1	STAU1
Trim50	TRIM74
Olfr420	OR6K2
Myl4	MYL4
Stmn3	STMN3
Dkc1	DKC1
Slc2a7	SLC2A7
Pigk	PIGK
Catsper1	CATSPER1
Isl2	ISL2
Sulf1	SULF1
Spta1	SPTA1
Hs3st3b1	HS3ST3A1
Hs3st3a1	HS3ST3A1
Ywhaq	YWHAQ
Hif1a	HIF1A
Plk4	PLK4
Slc22a15	SLC22A15
Ulk1	ULK1
Jakmip2	JAKMIP2
Lpar2	LPAR2
Mt1	MT2A
Mt2	MT2A
Ear2	RNASE3
Ear10	RNASE3
Ear6	RNASE3
Ear14	RNASE3
Rnase2b	RNASE3
Rnase2a	RNASE3
Ear1	RNASE3
Osbpl3	OSBPL3
Otud6a	OTUD6A
Lcn8	LCN8
Polr2c	POLR2C
Coro2a	CORO2A
Wdr12	WDR12
Eme1	EME1
Syt3	SYT3
Pfn3	PFN3
Kcnv2	KCNV2
Ssu72	SSU72
Ldhd	LDHD
Zfpm1	ZFPM1
Awat2	AWAT2
Vwc2	VWC2
Tmem68	TMEM68
Erap1	ERAP1
Mrps5	MRPS5
Casq2	CASQ2
Fxr1	FXR1
Nup214	NUP214
Zmynd15	ZMYND15
1700022I11Rik	C9orf131
Ppm1j	PPM1J
Fbxw11	FBXW11
Rngtt	RNGTT
Cyp2d40	CYP2D7
Cyp2d34	CYP2D7
Cyp2d26	CYP2D7
Cyp2d11	CYP2D7
Cyp2d12	CYP2D7
Cyp2d22	CYP2D7
Cyp2d9	CYP2D7
Cyp2d10	CYP2D7
Gtf2i	GTF2I
Sec23a	SEC23A
Nbl1	MINOS1-NBL1
Cript	CRIPT
Cilp2	CILP2
Rnase6	RNASE6
Olfr1269	OR4X2
Olfr1267-ps1	OR4X2
Olfr1265	OR4X2
Olfr1274-ps	OR4X2
Olfr1506	OR4X2
Gm13769	OR4X2
Eno1b	ENO1
Eno1	ENO1
Rhoq	RHOQ
Olfr1268-ps1	OR4X1
Zfp526	ZNF526
Gpc3	GPC3
Rtraf	RTRAF
Rhoc	RHOC
Pcsk1	PCSK1
Cux1	CUX1
Olfr574	OR51T1
Tomm20	TOMM20
Olfr586	OR51A4
Olfr586	OR51A2
Cox20	COX20
Ppm1m	PPM1M
Pcdha11	PCDHA11
Usp50	USP50
Rgs6	RGS6
Nufip2	NUFIP2
Bhlha15	BHLHA15
Olfr556	OR52I1
Plekhg5	PLEKHG5
Scai	SCAI
Golm1	GOLM1
Rbm7	AP002373.1
Xrcc1	XRCC1
Map3k21	MAP3K21
Slc22a1	SLC22A1
Herc2	HERC2
Fat3	FAT3
Olfml2a	OLFML2A
Krt24	KRT24
Sftpa1	SFTPA1
Bbs1	BBS1
Nek5	NEK5
F9	F9
Ovol3	OVOL3
Rgcc	RGCC
Tmem42	TMEM42
Tbcb	TBCB
Rufy3	RUFY3
Bhmt2	BHMT2
Fcf1	FCF1
Fam172a	FAM172A
Apoh	APOH
Lrch4	LRCH4
Gm20605	LRCH4
Rtn4rl1	RTN4RL1
Gps1	GPS1
Baiap3	BAIAP3
Psmb1	PSMB1
Traip	TRAIP
Olfr270	OR13D1
Nacc1	NACC1
Sardh	SARDH
Acsl6	ACSL6
Gna13	GNA13
Usp28	USP28
Rnf220	RNF220
Mrpl39	MRPL39
Wdr24	WDR24
Prpsap2	PRPSAP2
Sim1	SIM1
Cdc6	CDC6
Epcam	EPCAM
Rbp7	RBP7
Cox8c	COX8C
Ilk	ILK
Prdm13	PRDM13
Fis1	FIS1
Pcolce2	PCOLCE2
Dynlt3	DYNLT3
Safb2	SAFB2
Aox1	AOX1
Pigr	PIGR
Tcp11x2	TCP11X2
Bcl9l	BCL9L
Raf1	RAF1
Rtcb	RTCB
1500011K16Rik	LINC00116
Abraxas2	ABRAXAS2
Gh	CSH2
Nt5m	NT5M
Fam58b	CCNQ
Srd5a3	SRD5A3
Kmt5b	KMT5B
Smarcd2	SMARCD2
Mccc2	MCCC2
F2rl3	F2RL3
Stx4a	STX4
Grb10	GRB10
Csnk2a2	CSNK2A2
Prss46	PRSS46
Ablim1	ABLIM1
Prss45	AC109583.3
Zfp30	ZFP30
Chst8	CHST8
Cnnm2	CNNM2
Pgk2	PGK2
Rtl10	RTL10
Mbd5	MBD5
Usp17le	USP17L21
Usp17la	USP17L21
Usp17lb	USP17L21
Usp17lc	USP17L21
Usp17ld	USP17L21
Flt4	FLT4
Mcf2l	MCF2L
4931428F04Rik	KIAA0895L
Mageb16	MAGEB16
Lgsn	LGSN
Cetn3	CETN3
Ppp2r5b	PPP2R5B
Epop	EPOP
Adgrg4	ADGRG4
Eng	ENG
Foxp2	FOXP2
Fastkd5	FASTKD5
Parp14	PARP14
Vgf	VGF
Ccdc186	CCDC186
Tomm5	TOMM5
Znfx1	ZNFX1
Rab5b	RAB5B
Olfr1156	OR5L2
Olfr1157	OR5L2
Olfr1156	OR5L1
Olfr1157	OR5L1
Xxylt1	XXYLT1
Mixl1	MIXL1
Slc25a4	SLC25A4
Cage1	CAGE1
Lipt2	LIPT2
Csrp3	CSRP3
Adrb2	ADRB2
Retreg3	RETREG3
Xiap	XIAP
Adad2	ADAD2
Smim10l2a	SMIM10L2B
Evi2a	AC134669.2
Hist1h1e	HIST1H1E
Asb4	ASB4
Smad5	SMAD5
Itpr1	ITPR1
Nfe2l3	NFE2L3
Trip13	TRIP13
Gja10	GJA10
Alg3	ALG3
Kpnb1	KPNB1
Pbx2	PBX2
Mpnd	MPND
Zfp488	ZNF488
Samd13	SAMD13
Lair1	LAIR1
Ctdp1	CTDP1
Kcns1	KCNS1
Rsl24d1	RSL24D1
Mt1	MT1B
Mt2	MT1B
Apoc1	APOC1
Rreb1	RREB1
Timm8a1	TIMM8A
Fam96b	FAM96B
Fap	FAP
Ttll10	TTLL10
Sertad3	SERTAD3
Cyp2c55	CYP2C18
Cyp2c55	AL583836.1
Ssx9	SSX2B
Ssxb9	SSX2B
Ssxb10	SSX2B
Ssxb2	SSX2B
Gm5751	SSX2B
Ssxb1	SSX2B
Ssxb5	SSX2B
Gm6592	SSX2B
Gm21876	SSX2B
Ssxa1	SSX2B
Gm14459	SSX2B
Ssxb8	SSX2B
Ssxb3	SSX2B
Ssxb6	SSX2B
Mcm7	MCM7
Nucks1	NUCKS1
Rnmt	RNMT
Uhmk1	UHMK1
Tmem229a	TMEM229A
Jaml	JAML
Mutyh	MUTYH
Etfbkmt	ETFBKMT
Pfkl	PFKL
F12	F12
Shank1	SHANK1
Ufd1	UFD1
Stk32a	STK32A
D430042O09Rik	KIAA0556
Scn2b	SCN2B
Blm	BLM
Ppp1r2	PPP1R2P3
Ticam2	TICAM2
Mbd3	MBD3
Pop1	POP1
Kctd10	KCTD10
Pum3	PUM3
Cmas	CMAS
Alb	ALB
Prkch	PRKCH
Kcnn2	KCNN2
Coq5	COQ5
Phf23	PHF23
Phkg2	PHKG2
Tomm34	TOMM34
Zdhhc22	ZDHHC22
Pcbd2	PCBD2
Gsdme	GSDME
Prex1	PREX1
Ndufa6	NDUFA6
Inpp5e	INPP5E
Fam161b	FAM161B
Gal3st1	GAL3ST1
Ino80d	INO80D
Stat5a	STAT5A
Nap1l2	NAP1L2
Dnajb7	DNAJB7
Srpk1	SRPK1
Pmel	PMEL
B230219D22Rik	C5orf24
Rnf31	RNF31
Mrps23	MRPS23
Catsperb	CATSPERB
Timm17a	TIMM17A
Ppt2	PPT2-EGFL8
Aadat	AADAT
Rfk	RFK
Nxph1	NXPH1
Scd1	SCD
Scd4	SCD
Scd2	SCD
Scd3	SCD
Ccl7	CCL7
Tmem115	TMEM115
Cyb561d2	Z84492.1
Slc8a1	SLC8A1
Alms1	ALMS1
Ankrd63	ANKRD63
Nutm2	NUTM2F
Tspan6	TSPAN6
Pou2f3	POU2F3
Tor2a	TOR2A
Gabrp	GABRP
Zfp597	ZNF597
Rgl1	RGL1
Dnal1	DNAL1
Ttll1	TTLL1
Scube2	SCUBE2
Acot6	ACOT6
Ucn3	UCN3
Vtn	VTN
Gm7075	RNF7
Rnf7	RNF7
Ggact	GGACT
Tfpi	TFPI
Dnase1l3	DNASE1L3
Zfp667	ZNF667
Slc39a7	SLC39A7
Cox7b2	COX7B2
Pskh1	PSKH1
Igkv18-36	IGKV3D-7
Aars2	AARS2
Amfr	AMFR
Arpc5	ARPC5
Cst10	CST4
Rpusd4	RPUSD4
Snrnp27	SNRNP27
Scamp5	SCAMP5
Asap1	ASAP1
Cideb	CIDEB
Slx4ip	SLX4IP
Spdl1	SPDL1
Ndufa5	NDUFA5
Mrpl46	MRPL46
Spn	SPN
Arhgap28	ARHGAP28
Fam129b	FAM129B
Cox5a	COX5A
Elac2	ELAC2
Zfp444	ZNF444
Zbtb32	ZBTB32
Grxcr1	GRXCR1
Upk1a	UPK1A
Pde4dip	PDE4DIP
Tmem248	TMEM248
Gm5519	NUDT15
Nudt15	NUDT15
2310011J03Rik	C19orf25
Arhgdib	ARHGDIB
Il2	IL2
Arhgap35	ARHGAP35
Mthfsl	ST20-MTHFS
Mthfs	ST20-MTHFS
Phf2	PHF2
Dpy30	DPY30
9230104L09Rik	CST9
Cst9	CST9
Ap2s1	AP2S1
Csnka2ip	CSNKA2IP
Rhd	RHCE
Tbr1	TBR1
Trim58	TRIM58
Lrrc14	LRRC14
Lrrc24	LRRC24
Haus3	HAUS3
Il21r	IL21R
Gja1	GJA1
Sox14	SOX14
Rnf32	RNF32
Slc22a29	SLC22A9
Slc22a28	SLC22A9
Slc22a19	SLC22A9
Slc22a26	SLC22A9
Slc22a27	SLC22A9
Slc22a30	SLC22A9
Luc7l2	C7orf55-LUC7L2
Rabl3	RABL3
Zfand2a	ZFAND2A
Hkdc1	HKDC1
Atp8a2	ATP8A2
Zmynd10	ZMYND10
Gpam	GPAM
Sulf2	SULF2
Abcf1	ABCF1
Atf7ip2	ATF7IP2
Hectd3	HECTD3
Ntrk3	NTRK3
BC051019	C11orf16
Rab13	RAB13
Tmem205	TMEM205
Rbm42	RBM42
Tas2r120	TAS2R50
Tas2r136	TAS2R50
Ranbp9	RANBP9
2210408I21Rik	KIAA0825
Ttc25	TTC25
March3	MARCH3
Tdrd12	TDRD12
Atp13a1	ATP13A1
Gsg1l	GSG1L
Nkx2-5	NKX2-5
Hnrnpab	HNRNPAB
A1bg	A1BG
Gpr37	GPR37
Gla	GLA
Fam196a	FAM196A
Hexa	AC009690.1
Ttc13	TTC13
Rab27a	RAB27A
Noxred1	NOXRED1
Agpat5	AGPAT5
Ccdc170	CCDC170
Samd15	SAMD15
Gstp2	GSTP1
Gstp1	GSTP1
Adam19	ADAM19
Fah	FAH
Nipal4	NIPAL4
Hspb11	HSPB11
Hs3st5	HS3ST5
Gm20538	AL133352.1
Ndufb8	AL133352.1
Gm11639	EFCAB13
Ahrr	AHRR
Zfp128	ZNF8
Atg12	ATG12
Herc4	HERC4
Kpna6	KPNA6
Olfr813	OR6C76
Olfr809	OR6C76
Pgap2	PGAP2
Vmp1	VMP1
Gm20075	BTF3L4
Ptrh2	PTRH2
Scrg1	SCRG1
Ergic1	ERGIC1
Prr11	PRR11
Sertad1	SERTAD1
Slc46a2	SLC46A2
Uap1	UAP1
Rps6kc1	RPS6KC1
Prdm9	PRDM9
Man2c1	MAN2C1
Mib2	MIB2
Pirb	LILRA5
Lilra6	LILRA5
Pira2	LILRA5
Gm15922	LILRA5
Gm14548	LILRA5
Gm15448	LILRA5
Pnpt1	PNPT1
Slc26a4	SLC26A4
Mrps30	MRPS30
Gpr37l1	GPR37L1
Zpbp	ZPBP
Arfgef2	ARFGEF2
Tor1aip1	TOR1AIP1
Pnrc1	PNRC1
Tmem123	TMEM123
Esco2	ESCO2
Slc6a20a	SLC6A20
Cth	CTH
Pllp	PLLP
Tmprss4	TMPRSS4
Akr1b8	AKR1B15
Akr1b7	AKR1B15
Akr1b10	AKR1B15
Ankrd40	ANKRD40
Nox1	NOX1
Zbtb8b	ZBTB8B
Zbtb8a	ZBTB8A
Birc2	BIRC2
Hdx	HDX
Edem3	EDEM3
Mybpc2	MYBPC2
Krt86	KRT81
Krt81	KRT81
Krt87	KRT81
Krt83	KRT81
Rad51d	RAD51D
Taf11	AC233724.21
Taf11	AC106774.7
Cyp2d40	CYP2D6
Cyp2d34	CYP2D6
Cyp2d26	CYP2D6
Cyp2d11	CYP2D6
Cyp2d12	CYP2D6
Cyp2d22	CYP2D6
Cyp2d9	CYP2D6
Cyp2d10	CYP2D6
Lrch3	LRCH3
Tcrg-V7	TRGV5
Tcrg-V7	TRGV8
Oprm1	OPRM1
Npy1r	NPY1R
Rfx7	RFX7
Iqcg	IQCG
Ddx46	DDX46
Plch2	PLCH2
Cxxc1	CXXC1
Micu3	MICU3
Mnat1	MNAT1
Rgs17	RGS17
Tstd2	TSTD2
Bik	BIK
Tnrc18	TNRC18
Adcy4	ADCY4
Spocd1	SPOCD1
Tmigd1	TMIGD1
Fntb	FNTB
Tmem242	TMEM242
Prr14	PRR14
Racgap1	RACGAP1
Baalc	BAALC
Rxfp2	RXFP2
Trdn	TRDN
Grp	GRP
Slc6a1	SLC6A1
Tuba4a	TUBA4A
Armc12	ARMC12
Creg2	CREG2
Glb1l	GLB1L
Gabra2	GABRA2
Stard10	STARD10
Igsf9b	IGSF9B
Pex5l	PEX5L
Akt2	AKT2
Nek10	NEK10
Olfr685	OR52L1
Gm20379	HMGN4
Gm6594	HMGN4
Gm16494	HMGN4
Gm10282	HMGN4
Hmgn2	HMGN4
B3glct	B3GLCT
Golga2	GOLGA6D
Snrpn	SNRPN
Ccdc88c	CCDC88C
Slitrk2	SLITRK2
Igkv15-103	IGKV1D-43
Cd96	CD96
Fabp7	FABP7
Acsm1	ACSM1
Ube2b	UBE2B
Il31ra	IL31RA
Zfp277	ZNF277
Mindy3	MINDY3
Timp1	TIMP1
Chuk	CHUK
Ccdc82	CCDC82
Gimd1	GIMD1
Hyls1	HYLS1
Nkx6-1	NKX6-1
C1qtnf2	C1QTNF2
Mst1r	MST1R
Fbxw4	FBXW4
B3gnt2	B3GNT2
Pcid2	PCID2
Lrtm1	LRTM1
Lmbr1l	LMBR1L
Atf1	ATF1
Tmem132d	TMEM132D
Smco4	SMCO4
Serpina6	SERPINA6
Mrpl37	MRPL37
Fabp6	FABP6
Gmeb1	GMEB1
Olfr982	OR10S1
Celf3	CELF3
Bub1	BUB1
4933412E24Rik	CXorf49B
8030474K03Rik	CXorf49B
Gm4779	CXorf49B
Rpl38	RPL38
2410015M20Rik	C19orf70
Snf8	SNF8
Clnk	CLNK
Wrap53	WRAP53
Stk19	STK19
Nucb1	NUCB1
Olfr573-ps1	OR51H1
Olfr555	OR51H1
Crip1	AL928654.4
Abraxas1	ABRAXAS1
Copb2	COPB2
Prr23a2	PRR23A
Prr23a1	PRR23A
Prr23a3	PRR23A
Trp53	TP53
Eml5	EML5
Idh3a	IDH3A
Tlr9	TLR9
Hoxb2	HOXB2
Gm12728	RGPD6
Metap1d	METAP1D
Trim59	TRIM59
Haghl	HAGHL
Rfc1	RFC1
Otud7b	OTUD7B
Slc25a12	SLC25A12
Kcnk12	KCNK12
Olfr547	OR52B4
Tsks	TSKS
Nemp2	NEMP2
Naa35	NAA35
Nnmt	NNMT
Zdhhc12	ZDHHC12
Myom1	MYOM1
Eif5a	EIF5AL1
1810010H24Rik	C17orf58
Surf2	SURF2
Rras2	RRAS2
Defb26	DEFB125
Rundc1	RUNDC1
Gfra1	GFRA1
Fam161a	FAM161A
Gjc1	GJC1
Pcdh18	PCDH18
Atraid	ATRAID
Islr2	ISLR2
Trappc4	TRAPPC4
Cdh7	CDH7
Mtmr11	MTMR11
Rps25	RPS25
Gm43064	AP4B1
Ap4b1	AP4B1
Btbd2	BTBD2
Gins3	GINS3
Hmgxb3	HMGXB3
Dpp9	DPP9
Sars2	AC011455.2
Mamstr	MAMSTR
Hoxa1	HOXA1
AA986860	C1orf116
Rrp15	RRP15
Fpr1	FPR1
Grm2	GRM2
Egln2	EGLN2
Cxcr5	CXCR5
Zscan20	ZSCAN20
Mkrn2os	MKRN2OS
Pcgf6	PCGF6
Pcbp3	PCBP3
Fut11	FUT11
Egf	EGF
Psmc5	PSMC5
Trim52	TRIM52
Pogz	POGZ
Zfp760	ZNF429
Mmp19	MMP19
Pcdh10	PCDH10
Grpel2	GRPEL2
Lpin2	LPIN2
Greb1l	GREB1L
Scamp4	SCAMP4
Rrnad1	RRNAD1
Tex29	TEX29
Schip1	SCHIP1
Gm21949	SCHIP1
Orc4	ORC4
Ccdc7b	CCDC7
Ccdc7a	CCDC7
Myo5c	MYO5C
Defb25	DEFB124
Ccdc114	CCDC114
Coq8b	COQ8B
Itpkc	ITPKC
1700020L24Rik	C17orf50
Baat	BAAT
Mtmr1	MTMR1
Trp53bp2	TP53BP2
Tac2	TAC3
Olfr368	OR5C1
Slc6a19	SLC6A19
Olfr354	OR1N2
Chrnb2	CHRNB2
Fkbp11	FKBP11
Ppip5k1	PPIP5K1
Golga2	GOLGA8O
Als2cl	ALS2CL
Bmp4	BMP4
Msantd3	MSANTD3
Klc4	KLC4
Rasa4	RASA4
Tdrd1	TDRD1
Plin4	PLIN4
Ppargc1a	PPARGC1A
Rassf9	RASSF9
Ccdc174	CCDC174
Klhl3	KLHL3
Frmpd1	FRMPD1
Alx1	ALX1
Slc5a8	SLC5A8
Rbm3	RBM3
Kcnh6	KCNH6
Nxf7	NXF5
Nxf2	NXF5
Exosc3	EXOSC3
C1qtnf12	C1QTNF12
Capn8	CAPN8
Slc10a1	SLC10A1
Clpx	CLPX
Ly6l	LY6L
Ddx23	DDX23
Muc3	MUC17
Magee2	MAGEE2
Fam240a	FAM240A
Dmxl1	DMXL1
Mrpl19	MRPL19
Ano4	ANO4
Srcin1	SRCIN1
Ctu2	CTU2
Notch4	NOTCH4
Slain2	SLAIN2
Prdm14	PRDM14
Gjb2	GJB2
Casp7	CASP7
Lysmd2	LYSMD2
Ebf3	EBF3
Zfpm2	ZFPM2
Klf2	KLF2
D3Ertd751e	C4orf33
Slc9a4	SLC9A4
Tmod2	TMOD2
Ms4a2	MS4A2
Hscb	HSCB
Stn1	STN1
Sqle	SQLE
Magi2	MAGI2
Sclt1	SCLT1
Adgre1	ADGRE1
Ddx31	DDX31
Cby3	CBY3
Olfr1258	OR4C46
Ralgapa2	RALGAPA2
Hsd17b3	HSD17B3
Nkain1	NKAIN1
Gak	GAK
Zbtb44	ZBTB44
Npdc1	NPDC1
Gm10320	SEC61B
Sec61b	SEC61B
Acads	ACADS
Fbxo38	FBXO38
Gab2	GAB2
Uqcrh	UQCRHL
Rnf167	RNF167
Il22	IL22
Iltifb	IL22
Sag	SAG
Sgcb	SGCB
Ccdc81	CCDC81
Ache	ACHE
Mettl1	METTL1
Lin52	LIN52
Pgm1	PGM2
Slc16a1	SLC16A1
Eif4g1	EIF4G1
Afm	AFM
Ppp1r37	PPP1R37
Tm9sf1	AL136295.1
Lair1	LAIR2
Zcchc7	ZCCHC7
Ogfod2	OGFOD2
Psmd3	PSMD3
Samd7	SAMD7
Rgs4	RGS4
C8g	C8G
Slurp2	SLURP2
Col23a1	COL23A1
Pot1a	POT1
Pot1b	POT1
Rab23	RAB23
Ivd	IVD
Hist1h1c	HIST1H1C
Xcr1	XCR1
Klk9	KLK9
Tle3	TLE3
Ccser1	CCSER1
Zc3h18	ZC3H18
Krt71	KRT71
Cabp1	CABP1
Agbl3	AGBL3
Plcb4	PLCB4
Ucp2	UCP2
Ddx39b	DDX39B
Cdc26	CDC26
Slc31a2	SLC31A2
Sec31b	SEC31B
Wdr75	WDR75
Olfr791	OR6C2
St3gal5	ST3GAL5
Ndufc2	NDUFC2
Slc16a2	SLC16A2
Fem1b	FEM1B
Fbxl12	FBXL12
Cd3e	CD3E
Hprt	HPRT1
Ap1m2	AP1M2
Ell2	ELL2
Cic	CIC
Sprn	SPRN
Col5a2	COL5A2
Rbp3	RBP3
Cdc27	CDC27
Afdn	AFDN
Olfr788	OR6C3
Havcr2	HAVCR2
Ssx9	SSX7
Ssxb9	SSX7
Ssxb10	SSX7
Ssxb2	SSX7
Gm5751	SSX7
Ssxb1	SSX7
Ssxb5	SSX7
Gm6592	SSX7
Gm21876	SSX7
Ssxa1	SSX7
Gm14459	SSX7
Ssxb8	SSX7
Ssxb3	SSX7
Ssxb6	SSX7
Il1r2	IL1R2
Rab3b	RAB3B
St6galnac5	ST6GALNAC5
Sorl1	SORL1
Ptpn23	PTPN23
Dgat2l6	DGAT2L6
Psmg1	PSMG1
Cdh13	CDH13
Krt82	KRT82
Pm20d2	PM20D2
Scn4b	SCN4B
Ube3b	UBE3B
Olfr826	OR9K2
Olfr825	OR9K2
Lrrc4b	LRRC4B
Gm11492	C17orf47
Stk10	STK10
Tmem240	TMEM240
Tm4sf5	TM4SF5
Olfr63	OR10H4
Tmem39b	TMEM39B
Gldn	GLDN
Ttc27	TTC27
Olfr1445	OR5B12
Olfr1448	OR5B12
Pagr1a	PAGR1
Pagr1b	PAGR1
Gm42742	PAGR1
Zfp266	ZNF561
Ngf	NGF
Cubn	CUBN
Tmem265	TMEM265
Capzb	CAPZB
Pdia2	PDIA2
Igsf11	IGSF11
Cblc	CBLC
Ring1	RING1
Tcrg-V7	TRGV1
Tcrg-C1	TRGC2
Tcrg-C3	TRGC2
Tcrg-C2	TRGC2
Tcrg-C4	TRGC2
Smdt1	SMDT1
Epx	EPX
Yap1	YAP1
Abcc3	ABCC3
Spata31	SPATA31A5
Setmar	SETMAR
Lpar6	LPAR6
Pax5	PAX5
Ankrd55	ANKRD55
Ak4	AK4
Arhgef12	ARHGEF12
Ulbp1	ULBP1
Ldb2	LDB2
Ccr6	CCR6
Samd14	SAMD14
Cep126	CEP126
Lsamp	LSAMP
Zfand6	ZFAND6
Ripk3	RIPK3
Hs2st1	HS2ST1
Tspan17	TSPAN17
Slc29a4	SLC29A4
Acadm	ACADM
Blk	BLK
Por	POR
Vti1a	VTI1A
Trbv13-2	TRBV10-2
Trbv13-3	TRBV10-2
Trbv13-1	TRBV10-2
Bccip	BCCIP
Rhou	RHOU
Ccdc94	CCDC94
Acot1	ACOT2
Acot5	ACOT2
Acot3	ACOT2
Acot2	ACOT2
AC133183.1	ACOT2
Agr2	AGR2
Sar1b	SAR1B
Dgke	DGKE
Bdh1	BDH1
C5ar2	C5AR2
Nlrc3	NLRC3
Tcf7	TCF7
Hnmt	HNMT
Tube1	TUBE1
Ap2a2	AP2A2
Dvl2	DVL2
Olfr460	OR9A4
Tas2r138	TAS2R38
Senp8	SENP8
Zfp523	ZNF76
Sqor	SQOR
Smim10l1	SMIM10L1
Nrn1l	NRN1L
5330417C22Rik	KIAA1324
Pelp1	PELP1
Ddx11	DDX11
Atf7ip	ATF7IP
Pgrmc1	PGRMC1
Nomo1	NOMO3
Pde6c	PDE6C
Dram1	DRAM1
Stxbp3	STXBP3
Rbp4	RBP4
Cep55	CEP55
Rimbp3	RIMBP3
Rnf141	RNF141
Hnrnpc	HNRNPCL4
Srgn	SRGN
C1galt1c1	C1GALT1C1
Ly75	LY75-CD302
Myo1f	MYO1F
Dph5	DPH5
Gnl2	GNL2
Fcer1g	FCER1G
Pth1r	PTH1R
Asl	ASL
Abcc2	ABCC2
Ddah1	DDAH1
Ankib1	ANKIB1
Osmr	OSMR
Hgsnat	HGSNAT
Pnpla2	PNPLA2
Neu1	NEU1
Nek1	NEK1
Cggbp1	CGGBP1
Unc80	UNC80
Zc3h12a	ZC3H12A
Vamp5	VAMP5
Pias3	PIAS3
Slc30a7	SLC30A7
Cep41	CEP41
Chst1	CHST1
Marveld3	MARVELD3
Casd1	CASD1
Satb2	SATB2
Gdf6	GDF6
Dag1	DAG1
Lrrc40	LRRC40
Rusc1	RUSC1
Foxb1	FOXB1
Trav14d-3-dv8	TRAV23DV6
Trav14-1	TRAV23DV6
Trav14-3	TRAV23DV6
Trav14-2	TRAV23DV6
Trav14d-1	TRAV23DV6
Trav14n-3	TRAV23DV6
Trav14d-2	TRAV23DV6
Trav14n-1	TRAV23DV6
Trav14n-2	TRAV23DV6
Maats1	MAATS1
Tanc1	TANC1
Gm43638	UGT2A1
Ugt2a2	UGT2A1
Cmtm6	CMTM6
Zfhx4	ZFHX4
Aqr	AQR
Mpp4	MPP4
Cmtm7	CMTM7
E130309D02Rik	C7orf26
Prpf6	PRPF6
Zglp1	ZGLP1
Stat2	STAT2
Rarb	RARB
Etv1	ETV1
Rasgef1b	RASGEF1B
Wdr35	WDR35
Casp8	CASP8
Hist1h1d	HIST1H1D
Mmp2	MMP2
Il10rb	IL10RB
Gm21970	IL10RB
Eef2kmt	FAM86B2
Nup62cl	NUP62CL
Lcmt1	LCMT1
Tkfc	TKFC
G6pd2	G6PD
G6pdx	G6PD
Snapin	SNAPIN
Tmem33	TMEM33
Lrat	LRAT
Hook3	HOOK3
Mthfr	MTHFR
Ppp1r3b	PPP1R3B
Mast3	MAST3
Gbx2	GBX2
Gprc5d	GPRC5D
Fam221b	FAM221B
Trav11d	TRAV10
Trav11	TRAV10
Cox17	COX17
Gm21987	COX17
Dbf4	DBF4
Fam183b	FAM183A
Adm	ADM
Dctn6	DCTN6
Irx5	IRX5
Gm12728	RGPD3
E2f7	E2F7
Arsj	ARSJ
Flt1	FLT1
Akap9	AKAP9
Letm2	LETM2
AI661453	C6orf132
Vegfd	VEGFD
Zhx2	ZHX2
Morn2	MORN2
Prdx5	PRDX5
Lypla1	LYPLA1
Pygo2	PYGO2
Stmn4	STMN4
Alox12	ALOX12
Acin1	ACIN1
Msx1	MSX1
Enpep	ENPEP
Rnf128	RNF128
AC163703.1	AC020934.3
Eif2s3y	EIF2S3
Eif2s3x	EIF2S3
Hoxc11	HOXC11
AW822073	DUX4
Duxf3	DUX4
Txndc2	TXNDC2
Cep162	CEP162
Tmem213	TMEM213
Cacybp	CACYBP
Saal1	SAAL1
Fam81a	FAM81A
Fam212b	FAM212B
Cdc42ep3	CDC42EP3
Alx4	ALX4
Bche	BCHE
Abca4	ABCA4
Gckr	GCKR
Tmigd3	TMIGD3
Cd82	CD82
Usp5	USP5
Ttc39a	TTC39A
Irf8	IRF8
Emc3	EMC3
Eif2b4	EIF2B4
Rps15a	RPS15A
Mum1l1	MUM1L1
Adora2b	ADORA2B
Tpgs2	TPGS2
Rap1a	RAP1A
Cdkn2b	CDKN2B
Etl4	KIAA1217
Fxyd4	FXYD4
Npy4r	NPY4R2
Syt15	FO681492.1
Rsph3a	RSPH3
Rsph3b	RSPH3
Olig3	OLIG3
Slc26a9	SLC26A9
Cyb561d1	CYB561D1
Mmp3	MMP3
Otud3	OTUD3
Pstpip2	PSTPIP2
Lpin3	LPIN3
Pspc1	PSPC1
Htr6	HTR6
Ptpn11	PTPN11
Phpt1	PHPT1
Pigb	PIGB
Ndufa4l2	NDUFA4L2
Gm44503	DNAAF4
Dyx1c1	DNAAF4
Btk	BTK
